"TargetModule","Coverage"
"game_rules","0.4691358024691358"
"state","0.4444444444444444"
"state","0.4222222222222222"
"game_rules","0.48148148148148145"
"player","1.0"
"ui","0.55"
"player","1.0"
"game_rules","0.48148148148148145"
"game_rules","0.48148148148148145"
"game_rules","0.4444444444444444"
"player","1.0"
"ui","0.55"
"state","0.43333333333333335"
"game_rules","0.4691358024691358"
"player","1.0"
"ui","0.55"
"state","0.43333333333333335"
